x,y,cluster
-5.622879,-6.979090,95.000000
-5.652352,-6.908978,46.000000
-5.627970,-5.856658,59.000000
-3.637003,-5.280721,54.000000
-4.605521,-6.501948,81.000000
-5.802930,-6.862314,23.000000
-5.327003,-6.950877,47.000000
-3.764015,-6.123328,1.000000
-4.734352,-6.026682,50.000000
-5.338113,-6.692541,78.000000
-4.875368,-6.136370,58.000000
-4.595958,-5.952704,50.000000
-4.044544,-5.986972,51.000000
-4.384193,-5.911901,13.000000
-5.808773,-6.786981,72.000000
-4.535303,-6.430608,81.000000
-3.947632,-6.083540,21.000000
-5.499580,-6.573184,24.000000
-4.417429,-5.780591,13.000000
-5.912314,-6.795090,45.000000
-4.831619,-5.517476,70.000000
-3.793126,-5.976256,1.000000
-4.410084,-5.386284,16.000000
-4.692647,-5.591564,70.000000
-3.965785,-5.752768,12.000000
-5.264482,-6.862982,9.000000
-4.104493,-5.599639,33.000000
-5.762000,-6.823447,27.000000
-5.746956,-5.941418,40.000000
-4.371724,-6.318481,0.000000
-4.855924,-5.462118,70.000000
-5.407988,-6.703512,78.000000
-4.559723,-5.949055,50.000000
-4.114671,-5.476927,75.000000
-4.132815,-5.731390,86.000000
-4.870963,-6.131678,58.000000
-4.364479,-5.859349,13.000000
-4.577914,-5.257068,3.000000
-4.062808,-6.155393,49.000000
-3.951804,-5.964157,21.000000
-3.704634,-5.836381,52.000000
-5.511307,-7.176981,57.000000
-5.538486,-6.135730,32.000000
-5.462381,-6.300519,32.000000
-5.346557,-5.726688,8.000000
-3.957307,-5.958191,55.000000
-4.916652,-5.469351,70.000000
-3.971989,-5.969796,51.000000
-4.465319,-5.377096,16.000000
-4.059083,-5.889731,12.000000
-4.911321,-5.429612,83.000000
-5.039304,-5.499982,83.000000
-4.397417,-5.733662,13.000000
-4.173907,-5.710684,93.000000
-5.562059,-6.960114,71.000000
-4.496564,-5.942708,68.000000
-4.820333,-5.433055,83.000000
-4.879811,-6.698786,19.000000
-5.792662,-6.594960,42.000000
-4.715261,-5.801399,22.000000
-5.388940,-7.135715,57.000000
-3.867589,-5.912951,52.000000
-4.422921,-5.861988,13.000000
-5.628942,-6.920023,46.000000
-5.142842,-6.348537,20.000000
-5.022990,-6.737053,64.000000
-4.700161,-6.483135,29.000000
-5.636356,-6.894275,46.000000
-3.299713,-5.209393,25.000000
-4.362786,-5.715501,73.000000
-4.689588,-6.510777,29.000000
-4.147620,-5.432169,11.000000
-3.405097,-5.225868,25.000000
-5.506595,-6.745966,80.000000
-5.625018,-6.982140,95.000000
-4.080550,-5.451644,75.000000
-2.931338,-5.141845,65.000000
-5.007651,-6.736421,64.000000
-3.816104,-6.143094,1.000000
-3.905855,-5.946340,49.000000
-5.674935,-6.792478,27.000000
-4.269193,-5.543659,88.000000
-4.105855,-5.732816,31.000000
-5.375066,-6.767620,26.000000
-4.009151,-5.804288,12.000000
-3.853346,-5.930029,52.000000
-5.415147,-5.787044,8.000000
-5.221205,-7.053412,5.000000
-4.816002,-6.263474,4.000000
-3.824605,-6.071875,1.000000
-3.741438,-6.001076,1.000000
-5.541467,-6.559300,35.000000
-5.009269,-6.367340,79.000000
-3.770518,-6.035876,1.000000
-5.217283,-6.446190,79.000000
-3.947019,-5.959856,55.000000
-5.916286,-6.591651,10.000000
-4.874770,-5.583189,83.000000
-3.914298,-5.987063,44.000000
-5.645762,-6.145366,32.000000
-4.244347,-5.659369,33.000000
-4.241200,-5.938227,41.000000
-5.194055,-6.290324,20.000000
-3.813158,-6.006745,21.000000
-5.672508,-6.892572,95.000000
-4.550825,-5.309240,3.000000
-5.532633,-7.204685,57.000000
-4.351480,-6.300168,0.000000
-4.166775,-5.441731,75.000000
-5.803493,-6.874773,23.000000
-4.851449,-5.284729,67.000000
-5.762377,-6.861116,23.000000
-3.768958,-6.012759,1.000000
