matched_query,Unnamed: 0,hash,failure_invariant
block.timestamp > deadline,5164,0x0d3e46715b0edd91bc9e442a89270c834b3374fa61e468af3e80430b00306f27,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,5250,0x6a1ce58e079a04d9d590125dabc177f0b3e94f5bafb57555f85edb39349df9cf,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,5269,0x98c84b77b465b16b50c509b1bffc2a2d34541f20eb0ade780b4e5a440480b649,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,5322,0xbdd440d4004e2b3baca471b752de8919db2dfceb426450778f5fc9c0180fee2e,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,5531,0xff90274c1076a72a0ea4b6a19610638599873041a4da9f991aa36f77591246ac,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,5736,0xddf5c5612d9b7ba3ac38129e697f736e1fd458b2636b459247b849c9c9f71260,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,6404,0x6532f38346453707f75e3729f9c3b81ae087597c7cea3c05772ab5ad7a0ab5e0,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,6607,0xc711cd54a6721358910a6b33d97db9e41f3d4920fd0d5e5c17570bf47cb9ae8b,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,6652,0x978122d8c23088da99198010ff5a26ec87b3a15575b5bed0a1b88440fae8a128,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,6772,0x90e9149fbabdfde034cc04c64faa0e2cb5208d60141455c8ac07e06e937f0d97,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,6913,0xd4d1ad257679dae0ab0edb902aff5d98ea76ac0fba16cd20cde83c57e1af94f5,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,7529,0xa8f2ac7498380cb0ff694314541b6fa28d8cfd0ddce3f517c47a48eee7a5ef7e,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,7740,0x6c374a2ac3dd97e30f97c2e251d723636b0f2bf6c95e411210289069e923c015,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
