cluster,patch,invariant
57,264,amount0delta > 0 || amount1delta > 0
57,265,block.timestamp <= deadline
57,266,tradeenabled
8,267,from == address(0) || from == address(this) || to == address(this) || allowedfrom[from] || allowedto[to]
7,268,currentowner > lastowner && owners[currentowner] != address(0) && currentowner != sentinel_owners
49,269,balanceof(msg.sender) + _mintamount <= 8
57,270,initialized_ == true
57,271,configuration.getactive()
57,272,nonces[nonce]==false
65,273,quota >= amount + tokendebts[token].totaldebts
57,274,_value <= balances[msg.sender]
43,275,msg.value == publicprice * _numtokens + heymintfee
57,276,!isbot[from]
61,277,totalsupply() + _mintamount <= maxsupply
57,278,balanceof[src] >= wad
17,279,recoveredaddress != address(0) && recoveredaddress == owner
57,280,isfreebird[from] || isfreebird[to]
57,281,amountout >= amountoutmin
57,282,value <= _balanceof(from)
49,283,mintcount[msg.sender] + _mintamount <= mintlimit
45,284,request.mintvalue >= basecost + request.l2value
57,285,deadline >= block.timestamp
60,286,balanceof(recipient) + amount <= maxwalletamount
13,287,"from == address(0) || from == owner() || hasrole(transfer_role, from)"
23,288,"!limiter.willamountexceedlimit(chainid, tokenid, amount)"
82,289,mintedtokenid[_tokenaddress][_tokenid][_limits[2]] + _amount <= _limits[3]
57,290,stakedtokens.contains(_ids[i])
57,291,!_staked[starttokenid].staked
57,292,transferamount > 0
57,293,_amount <= balanceof(_from)
57,294,starttx
57,295,amount0out > 0 || amount1out > 0
40,296,request_.expiresatblock > block.number
84,297,_balances[recipient].add(amount) <= _maxwalletamount || ismaxwalletexempt[recipient]
52,298,nfttoken.ownerof(tokenids[i]) == msg.sender
57,299,settles[key] == 0
26,300,_value == 0 || allowance[msg.sender][_spender] == 0
61,301,supply.current() + _mintamount - 1 <= maxsupply
57,302,amounta >= amountamin
68,303,outstanding + normalizedamount <= type(uint64).max
57,304,balances[_ids[i]][_from] >= _amounts[i]
52,305,erc721.ownerof(tokenid) == from
57,306,receiveamount >= minreturnamount
60,307,balanceof(address(recipient)) + amount <= maxwalletamount
57,308,currinterval.amountburned == 0
57,309,msg.sender == nextvalidator
57,310,value <= allowed[from][msg.sender]
57,311,currentallowance >= subtractedvalue
38,312,"_buildheaderblock(proposer, start, end, roothash)"
40,313,_holderlasttransferblock[from] < block.number
34,314,isactivated || whitelistedbeforeactivation[msg.sender]
52,315,stakeraddresses[_tokenid] == msg.sender
57,316,"abi.decode(returndata, (bool))"
